Age,Gender,Employment_Status,Disposable_Income,Preferred_Platform,Shopping_Frequency_Per_Month,Current_Mood,Primary_Trigger,Product_Category,Made_Impulse_Purchase
31,Male,Student,"₹2,000 - ₹5,000",E-commerce Website,4,Stressed,Social Media Ad,Beauty/Cosmetics,No
26,Male,Employed,"₹5,000 - ₹15,000",Social Media Stores,9,Bored,Limited Time Flash Sale,Food/Snacks,Yes
33,Male,Unemployed,"Under ₹2,000",E-commerce Website,2,Bored,Limited Time Flash Sale,Beauty/Cosmetics,Yes
40,Male,Employed,"₹5,000 - ₹15,000",E-commerce Website,5,Stressed,Heavy Discount,Beauty/Cosmetics,Yes
26,Female,Student,"₹5,000 - ₹15,000",E-commerce Website,8,Happy,Limited Time Flash Sale,Food/Snacks,Yes
26,Male,Employed,"₹2,000 - ₹5,000",Social Media Stores,4,Happy,Limited Time Flash Sale,Gaming/Digital,Yes
40,Male,Employed,"₹2,000 - ₹5,000",E-commerce Website,1,Bored,Social Media Ad,Gaming/Digital,No
34,Female,Employed,"₹5,000 - ₹15,000",Social Media Stores,6,Sad,Free Shipping Threshold,Electronics,No
24,Male,Employed,"Under ₹2,000",E-commerce Website,9,Happy,Social Media Ad,Gaming/Digital,Yes
32,Female,Student,"₹2,000 - ₹5,000",E-commerce Website,6,Neutral,Heavy Discount,Electronics,No
24,Female,Employed,"Above ₹15,000",E-commerce Website,4,Neutral,Limited Time Flash Sale,Electronics,Yes
24,Male,Employed,"₹5,000 - ₹15,000",E-commerce Website,6,Bored,Attractive Packaging,Beauty/Cosmetics,Yes
29,Female,Self-employed,"₹5,000 - ₹15,000",E-commerce Website,5,Stressed,Free Shipping Threshold,Beauty/Cosmetics,Yes
18,Female,Student,"₹5,000 - ₹15,000",E-commerce Website,5,Bored,Social Media Ad,Gaming/Digital,No
18,Male,Self-employed,"₹2,000 - ₹5,000",Social Media Stores,4,Neutral,Heavy Discount,Food/Snacks,No
23,Male,Student,"₹2,000 - ₹5,000",Quick Commerce,7,Stressed,Free Shipping Threshold,Food/Snacks,No
19,Female,Employed,"₹5,000 - ₹15,000",Social Media Stores,4,Sad,Heavy Discount,Electronics,No
30,Female,Self-employed,"₹5,000 - ₹15,000",E-commerce Website,2,Stressed,Attractive Packaging,Food/Snacks,No
20,Female,Employed,"Under ₹2,000",E-commerce Website,4,Bored,Free Shipping Threshold,Beauty/Cosmetics,No
18,Male,Student,"₹2,000 - ₹5,000",Physical In-Store,5,Bored,Heavy Discount,Electronics,No
39,Female,Student,"₹2,000 - ₹5,000",E-commerce Website,2,Happy,Social Media Ad,Food/Snacks,No
26,Male,Employed,"₹5,000 - ₹15,000",E-commerce Website,1,Neutral,Free Shipping Threshold,Electronics,No
28,Female,Employed,"₹2,000 - ₹5,000",E-commerce Website,6,Neutral,Attractive Packaging,Clothing,No
18,Female,Unemployed,"Above ₹15,000",E-commerce Website,9,Neutral,Social Media Ad,Clothing,No
23,Female,Employed,"Above ₹15,000",E-commerce Website,7,Sad,Limited Time Flash Sale,Electronics,Yes
